id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06e503ffff,00070112000623,,,116,rais_2017,ALL NATIONS COMERCIO EXTERIOR S A
89a8a06e503ffff,00078218000169,,,7,rais_2017,ADMINISTRADORA SHOPPING NOVA AMERICA S C LTDA
89a8a06e503ffff,00089189000130,,,9,rais_2017,LIVING CONSULTORIA E DESENVOLVIMENTO DE
89a8a06e503ffff,00147913000135,,,114,new_estab_2018,ASA ASSESSORIA DE COMERCIO EXTERIOR LTDA
89a8a06e503ffff,00179102050006,,,1,rais_2017,MARIA DA CONCEICAO COSTA SOBRINHO
89a8a06e503ffff,00226508000102,,,17,rais_2017,ELITRAVEL - TURISMO E VIAGENS LTDA-EPP
89a8a06e503ffff,00349700117304,,,1,rais_2017,ANA BEATRIZ MEIRELES DE SOUSA
89a8a06e503ffff,00372255000185,,,6,rais_2017,SOFT SERVICE CURSOS E SISTEMAS LTDA EPP
89a8a06e503ffff,00382468002301,,,264,cep_changed_2018,COLGATE PALMOLIVE COMERCIAL LTDA
89a8a06e503ffff,00428300021306,,,1,rais_2017,MONICA GIGLIO GONCALVES DE SOUZA
89a8a06e503ffff,00436042018702,,,8,rais_2017,POLIMPORT COMERCIO E EXPORTACAO LTDA
89a8a06e503ffff,00499399700194,,,1,new_estab_2018,FABIANNE FIGUEIREDO DE SOUZA
89a8a06e503ffff,00500007732504,,,1,rais_2017,RICARDO LISBOA PEDROZA
89a8a06e503ffff,00500143741509,1,rais_2017,1,rais_2017,ROSANY NASCIMENTO DE AZEVEDO
89a8a06e503ffff,00500157233909,1,rais_2017,1,rais_2017,BARBARA JACQUELINE HOERNER
89a8a06e503ffff,00512048537601,,,1,rais_2017,ANIBAL ELON KNUP FILHO
89a8a06e503ffff,00512049129409,,,1,rais_2017,ADRIANA AZEVEDO SAMPAIO
89a8a06e503ffff,00512263608609,,,1,rais_2017,MARIANA DE GUSMAO NUNES
89a8a06e503ffff,00512356305705,,,1,rais_2017,RENATA BARBOSA REIS
89a8a06e503ffff,00512358531302,,,1,rais_2017,GUSTAVO NASCIMENTO PEREIRA
89a8a06e503ffff,00691887000101,,,1,rais_2017,KOESA EMPRESARIAL EIRELI
89a8a06e503ffff,00764667000160,,,2,rais_2017,SOFTWALE INFORMATICA LTDA ME
89a8a06e503ffff,00805468000153,,,30,rais_2017,DUMILA LANCHES E SUCOS EIRELI EPP
89a8a06e503ffff,00851208000114,,,16,rais_2017,PARKS E GAMES RJ EMPREENDIMENTOS LTDA EPP
89a8a06e503ffff,00858904000152,,,16,rais_2017,IRMAOS PRJ COMERCIO ALIMENTICIOS LTDA
89a8a06e503ffff,00860639000147,,,2,rais_2017,HCR FRANQUEADORA LTDA EPP
89a8a06e503ffff,00945751000180,,,20,rais_2017,ASSOCIACAO DO FUNDO DE PROMOCAO NOVA AMERICA
89a8a06e503ffff,01047592000160,,,12,rais_2017,TOP KART LOCACAO DE BENS MOVEIS LTDA
89a8a06e503ffff,01085187700123,,,1,new_estab_2018,VALERIA DAMIAN BRASIL LIMA
89a8a06e503ffff,01178345000100,,,3,rais_2017,CENTRO DE ALERG E PED DR JOSE ROBERT
89a8a06e503ffff,01370572000125,,,21,cep_changed_2018,MAMG COMERCIO DE ALIMENTOS EIRELI
89a8a06e503ffff,01434800000264,,,45,rais_2017,MERCURY MARINE DO BRASIL INDUSTRIA E COMERCIO
89a8a06e503ffff,01486786700159,,,1,new_estab_2018,WAGNER CARVALHO DA FONSECA
89a8a06e503ffff,01512104012901,,,3,rais_2017,ESPACO DO BANHO E AROMAS LTDA
89a8a06e503ffff,01734916000308,,,1,rais_2017,CLINICA BENCHIMOL LTDA
89a8a06e503ffff,02016305000540,,,8,rais_2017,SOFT THREE TINTURARIAS LTDA ME
89a8a06e503ffff,02082558000784,,,80,rais_2017,KNAUF DO BRASIL LTDA
89a8a06e503ffff,02249408000127,,,24,rais_2017,ANACAROL COMERCIO DE ALIMENTOS LTDA EPP
89a8a06e503ffff,02271137000106,,,20,new_estab_2018,LG ALPHA SERVICOS EIRELI
89a8a06e503ffff,02421421005857,,,12,new_estab_2018,TIM S A
89a8a06e503ffff,02453799000105,,,6,rais_2017,ANOMERC MEIAS LTDA
89a8a06e503ffff,02714643002257,,,28,rais_2017,333 COMERCIO E COMUNICACOES LTDA
89a8a06e503ffff,02714643003067,,,19,rais_2017,333 COMERCIO E COMUNICACOES LTDA
89a8a06e503ffff,02737654000390,,,46,rais_2017,TAC FRANQUIA INDUSTRIA E COMERCIO LTDA
89a8a06e503ffff,02820689000126,,,2,rais_2017,LOOP 225 MODAS LTDA-ME
89a8a06e503ffff,03011393000127,,,1,rais_2017,RM ELITE CORRETORA DE SEGUROS LTDA ME
89a8a06e503ffff,03116607002092,,,16,new_estab_2018,DRUMATTOS BRASIL ADMINISTRACAO DE RESTAURANTE
89a8a06e503ffff,03368287000103,,,3,rais_2017,CTY INFORMATICA LTDA ME
89a8a06e503ffff,03589880000171,,,14,rais_2017,CONSTRUTORA WV LTDA
89a8a06e503ffff,03645367000150,,,4,rais_2017,BODY FITNESS ARTIGOS E SUPLEMENTOS NUTRICION
89a8a06e503ffff,03863125001377,,,8,rais_2017,ARMADILLO INDUSTRIA E COMERCIO DE ROUPAS
