id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06a013ffff,00077511000101,1,rais_2017,1,rais_2017,COMPANHIA TERRITORIAL DO RIO DE JANEIRO
89a8a06a013ffff,00148344000142,32,rais_2017,18,rais_2017,ARKHE SERVICOS DE ENGENHARIA LTDA
89a8a06a013ffff,00179021517607,1,rais_2017,1,rais_2017,CONDOMINIO DO EDIFICIO CARCELLER
89a8a06a013ffff,00179021547802,1,rais_2017,1,rais_2017,ALMIR MORENO REZENDE
89a8a06a013ffff,00179021558301,2,rais_2017,2,rais_2017,MARCIO AUGUSTO VIANNA MARQUES
89a8a06a013ffff,00179021643108,6,rais_2017,5,rais_2017,HAROLDO DE CASTRO FONSECA
89a8a06a013ffff,00179022041601,2,rais_2017,2,rais_2017,MARIA TERESA DIAS BRAME
89a8a06a013ffff,00179022219407,4,rais_2017,4,rais_2017,VERA LUCIA DE ANDRADE TORRES
89a8a06a013ffff,00179022506001,,,1,new_estab_2018,JOSE EDUARDO PINTO DE SOUZA SANTOS
89a8a06a013ffff,00179022586009,3,rais_2017,2,rais_2017,JOSE GUILHERME CANEDO DE MAGALHAES
89a8a06a013ffff,00179022598609,2,rais_2017,2,rais_2017,CELIA MARIA MERGULHAO PINTO DE CARVALHO ADM D
89a8a06a013ffff,00179022694304,5,rais_2017,6,rais_2017,ELIZABETH ALMEIDA DE MORAES
89a8a06a013ffff,00215264000243,3,rais_2017,3,rais_2017,VGM COMERCIO CONSULTORIA E SISTEMA LTDA
89a8a06a013ffff,00321624000100,7,rais_2017,6,rais_2017,RONDINI VIAGENS E TURISMO LTDA
89a8a06a013ffff,00349300183501,11,rais_2017,13,rais_2017,GERALDO CALMON COSTA JUNIOR
89a8a06a013ffff,00349500039303,5,rais_2017,6,rais_2017,JONAS RYMERLEILOEIRO PUBLICO
89a8a06a013ffff,00370179000179,4,rais_2017,4,rais_2017,COND ED OIANA
89a8a06a013ffff,00396694000128,,,2,new_estab_2018,A2 ARQUITETURA LTDA.
89a8a06a013ffff,00416968002228,4,rais_2017,8,rais_2017,BANCO INTER S/A
