id_hex,id_estab,total_2017,input_2017,total_2019,input_2019
89a8a06086fffff,02692295000130,1,rais_2017,1,rais_2017
89a8a06086fffff,07206816006660,,,3280,new_estab_2019
89a8a06086fffff,31747069000107,,,1,new_estab_2019
89a8a06086fffff,49930514290206,33,rais_2017,20,rais_2017
89a8a06187bffff,00000000611310,23,rais_2017,27,rais_2017
89a8a06187bffff,00092369000171,176,rais_2017,162,rais_2017
89a8a06187bffff,00132741000126,23,rais_2017,19,rais_2017
89a8a06187bffff,00165960001426,,,54,cep_changed_2018
89a8a06187bffff,00179022104801,3,rais_2017,,
89a8a06187bffff,00179022172709,2,rais_2017,,
89a8a06187bffff,00179022657004,3,rais_2017,,
89a8a06187bffff,00179131878802,1,rais_2017,1,cep_changed_2019
89a8a06187bffff,00188766000141,6,rais_2017,6,rais_2017
89a8a06187bffff,00428200019407,1,rais_2017,,
89a8a06187bffff,00500022019307,1,rais_2017,1,rais_2017
89a8a06187bffff,00500173829907,1,rais_2017,,
89a8a06187bffff,00512016176501,1,rais_2017,,
89a8a06187bffff,00512143948108,1,rais_2017,,
89a8a06187bffff,00512243571700,,,1,new_estab_2018
89a8a06187bffff,00726001700296,,,1,new_estab_2018
89a8a06187bffff,00795301000159,,,3,cep_changed_2019
89a8a06187bffff,01383328000288,,,12,cep_changed_2019
89a8a06187bffff,01424221000150,6,rais_2017,6,rais_2017
89a8a06187bffff,01668135700271,,,1,new_estab_2019
89a8a06187bffff,01710084000110,1,rais_2017,1,rais_2017
89a8a06187bffff,01711231000176,,,11,cep_changed_2019
89a8a06187bffff,01773668000134,,,1,cep_changed_2019
89a8a06187bffff,02080308000110,3,rais_2017,2,rais_2017
89a8a06187bffff,02102498000200,,,12,cep_changed_2018
89a8a06187bffff,02688358000184,9,rais_2017,5,rais_2017
89a8a06187bffff,02782095000178,5,rais_2017,5,rais_2017
89a8a06187bffff,02807372000150,2,rais_2017,2,rais_2017
89a8a06187bffff,02894242000100,52,rais_2017,43,rais_2017
89a8a06187bffff,02911144000125,5,rais_2017,6,rais_2017
89a8a06187bffff,03012276000188,,,2,cep_changed_2019
89a8a06187bffff,03017804000272,69,rais_2017,23,rais_2017
89a8a06187bffff,03042237000123,1,rais_2017,1,rais_2017
89a8a06187bffff,03494776012533,8,rais_2017,8,rais_2017
89a8a06187bffff,04105732000105,2,rais_2017,3,rais_2017
89a8a06187bffff,04184408000111,4,rais_2017,3,cep_changed_2018
89a8a06187bffff,04188681000114,,,117,cep_changed_2018
89a8a06187bffff,04266989000130,3,rais_2017,2,rais_2017
89a8a06187bffff,04611953000147,,,7,cep_changed_2018
89a8a06187bffff,04714270000115,3,rais_2017,,
89a8a06187bffff,05146827000121,,,12,cep_changed_2018
89a8a06187bffff,05305052000190,6,rais_2017,10,rais_2017
89a8a06187bffff,05372056000190,9,rais_2017,9,rais_2017
89a8a06187bffff,05700747000176,6,rais_2017,5,rais_2017
89a8a06187bffff,05876349000296,12,rais_2017,21,cep_changed_2019
89a8a06187bffff,06965216000178,7,rais_2017,,
89a8a06187bffff,06995332000130,2,rais_2017,1,rais_2017
89a8a06187bffff,07316530000192,5,rais_2017,3,rais_2017
89a8a06187bffff,07387592000195,,,9,cep_changed_2018
89a8a06187bffff,07486334000166,29,rais_2017,6,cep_changed_2018
89a8a06187bffff,07598836000189,56,rais_2017,62,rais_2017
89a8a06187bffff,07607461000176,2,rais_2017,1,rais_2017
89a8a06187bffff,07656530000131,,,5,cep_changed_2019
89a8a06187bffff,07673377000150,,,35,cep_changed_2019
89a8a06187bffff,07674204000157,9,rais_2017,5,rais_2017
89a8a06187bffff,08071033000134,6,rais_2017,6,cep_changed_2018
89a8a06187bffff,08781764000173,6,rais_2017,3,rais_2017
89a8a06187bffff,08800454000159,,,536,cep_changed_2019
89a8a06187bffff,08859145000154,1,rais_2017,,
89a8a06187bffff,09178965000143,,,35,cep_changed_2018
89a8a06187bffff,09248608000538,,,773,cep_changed_2019
89a8a06187bffff,09310697000171,8,rais_2017,,
89a8a06187bffff,09401249000426,2,rais_2017,,
89a8a06187bffff,09437163000100,6,rais_2017,7,rais_2017
89a8a06187bffff,09572844000181,,,1,cep_changed_2018
89a8a06187bffff,10340369000105,8,rais_2017,,
89a8a06187bffff,10359971000186,1,rais_2017,,
89a8a06187bffff,10732890000180,1,rais_2017,2,rais_2017
89a8a06187bffff,11114284000163,455,rais_2017,473,rais_2017
89a8a06187bffff,12244338000259,,,31,new_estab_2018
89a8a06187bffff,12342261000179,,,18,cep_changed_2019
89a8a06187bffff,12348565000143,2,rais_2017,2,rais_2017
89a8a06187bffff,12986676000185,,,31,cep_changed_2019
89a8a06187bffff,13029853000106,6,rais_2017,7,rais_2017
89a8a06187bffff,13049113000123,,,1,cep_changed_2019
89a8a06187bffff,13060069000152,2,rais_2017,1,rais_2017
89a8a06187bffff,13508804000148,,,8,cep_changed_2019
89a8a06187bffff,14364647000107,5,rais_2017,4,rais_2017
89a8a06187bffff,14450463000160,2,rais_2017,,
89a8a06187bffff,14771952000113,,,3,cep_changed_2019
89a8a06187bffff,14987191000131,,,1,new_estab_2018
89a8a06187bffff,15076356000186,11,rais_2017,,
89a8a06187bffff,15186221000173,5,rais_2017,,
89a8a06187bffff,15227994000150,7,rais_2017,8,rais_2017
89a8a06187bffff,16562645000158,1,rais_2017,1,rais_2017
89a8a06187bffff,16614075000950,,,99,cep_changed_2019
89a8a06187bffff,16777857000152,,,1,new_estab_2019
89a8a06187bffff,16946159000133,,,1,cep_changed_2019
89a8a06187bffff,17179465000154,,,4,cep_changed_2018
89a8a06187bffff,17553863000199,6,rais_2017,,
89a8a06187bffff,18209746000175,1,rais_2017,2,rais_2017
89a8a06187bffff,19192329000120,3,rais_2017,,
89a8a06187bffff,19323190000378,,,1,new_estab_2019
89a8a06187bffff,19526319000264,,,4,cep_changed_2019
89a8a06187bffff,19956529000101,1,rais_2017,,
89a8a06187bffff,20326133000160,,,124,cep_changed_2018
89a8a06187bffff,20543416000163,,,16,cep_changed_2019
89a8a06187bffff,21238642000101,3,rais_2017,,
89a8a06187bffff,21592453000124,14,rais_2017,14,rais_2017
89a8a06187bffff,21809390000115,,,1,cep_changed_2019
89a8a06187bffff,22052911000103,,,114,cep_changed_2019
89a8a06187bffff,22596971000189,2,rais_2017,1,rais_2017
89a8a06187bffff,22631142000190,,,18,cep_changed_2019
89a8a06187bffff,22729758000106,1,rais_2017,1,rais_2017
89a8a06187bffff,25116920000281,,,4,new_estab_2018
89a8a06187bffff,26183164000195,13,rais_2017,3,rais_2017
89a8a06187bffff,26854207000117,4,rais_2017,4,rais_2017
89a8a06187bffff,27150150000138,1,rais_2017,,
89a8a06187bffff,27195106000225,10,rais_2017,2,rais_2017
89a8a06187bffff,27568270700228,,,3,new_estab_2018
89a8a06187bffff,27854197000182,2,rais_2017,,
89a8a06187bffff,27892880000104,,,10,cep_changed_2019
89a8a06187bffff,27927181000152,1,rais_2017,2,rais_2017
89a8a06187bffff,28003200000117,1,rais_2017,1,cep_changed_2018
89a8a06187bffff,28706203000117,2,rais_2017,2,cep_changed_2019
89a8a06187bffff,28858068000125,,,2,new_estab_2019
89a8a06187bffff,29001559000118,111,rais_2017,74,rais_2017
89a8a06187bffff,29410560000104,28,rais_2017,18,cep_changed_2018
89a8a06187bffff,29650579000110,17,rais_2017,19,rais_2017
89a8a06187bffff,29656763000177,,,26,new_estab_2019
89a8a06187bffff,29839156000142,24,rais_2017,26,rais_2017
89a8a06187bffff,30504617000105,,,1,cep_changed_2018
89a8a06187bffff,31289438000165,,,57,new_estab_2018
89a8a06187bffff,31608185000145,,,12,cep_changed_2019
89a8a06187bffff,31931785000140,1,rais_2017,2,rais_2017
89a8a06187bffff,32121554000133,,,7,new_estab_2019
89a8a06187bffff,32321804000189,7,rais_2017,6,rais_2017
89a8a06187bffff,33054800000497,6,rais_2017,7,rais_2017
89a8a06187bffff,33067323000151,7,rais_2017,,
89a8a06187bffff,33101772000179,,,14,new_estab_2019
89a8a06187bffff,33162581000117,,,23,new_estab_2019
89a8a06187bffff,33167016000657,11,rais_2017,11,rais_2017
89a8a06187bffff,33322710000197,2,rais_2017,2,rais_2017
89a8a06187bffff,33438250008222,,,21,cep_changed_2019
89a8a06187bffff,33443441000117,7,rais_2017,5,rais_2017
89a8a06187bffff,33630849000106,3,rais_2017,3,rais_2017
89a8a06187bffff,33885724007202,7,rais_2017,10,rais_2017
89a8a06187bffff,34011288000111,24,rais_2017,23,cep_changed_2018
89a8a06187bffff,34095935000110,15,rais_2017,11,rais_2017
89a8a06187bffff,34505371000147,,,32,new_estab_2019
89a8a06187bffff,34593446700186,,,1,new_estab_2018
89a8a06187bffff,35793801000136,10,rais_2017,8,rais_2017
89a8a06187bffff,35806835000118,3,rais_2017,3,rais_2017
89a8a06187bffff,35918663003190,,,145,cep_changed_2019
89a8a06187bffff,36256543000111,6,rais_2017,6,rais_2017
89a8a06187bffff,39073143000169,13,rais_2017,,
89a8a06187bffff,42461251000113,5,rais_2017,,
89a8a06187bffff,42546531000124,75,rais_2017,34,new_estab_2019
89a8a06187bffff,42546531000396,35,rais_2017,,
89a8a06187bffff,43819978000605,,,11,cep_changed_2019
89a8a06187bffff,45795499000290,,,7,cep_changed_2019
89a8a06187bffff,60701190053488,14,rais_2017,35,rais_2017
89a8a06187bffff,60746948658908,12,rais_2017,13,rais_2017
89a8a06187bffff,61365284013788,,,8,cep_changed_2019
89a8a06187bffff,61725214001191,15,rais_2017,16,rais_2017
89a8a06187bffff,62567821000161,9,rais_2017,10,cep_changed_2018
89a8a06187bffff,68622554000245,12,rais_2017,12,rais_2017
89a8a06187bffff,72372287000191,14,rais_2017,15,rais_2017
89a8a06187bffff,73750903000163,2,rais_2017,3,rais_2017
89a8a06187bffff,92792530000480,2,rais_2017,5,cep_changed_2019
89a8a061ab7ffff,00352200045606,,,1,cep_changed_2019
89a8a061ab7ffff,00363349000198,,,1141,cep_changed_2019
89a8a061ab7ffff,00500204923606,,,5,cep_changed_2019
89a8a061ab7ffff,00572914000127,,,5,cep_changed_2019
89a8a061ab7ffff,00595154000254,,,13,cep_changed_2019
89a8a061ab7ffff,00743065000127,,,1,new_estab_2019
89a8a061ab7ffff,00781337000183,,,2,cep_changed_2019
89a8a061ab7ffff,00827351000170,,,3,cep_changed_2019
89a8a061ab7ffff,01143390000111,,,117,new_estab_2019
89a8a061ab7ffff,01547749000116,,,1,new_estab_2019
89a8a061ab7ffff,01688585000147,,,5,cep_changed_2019
89a8a061ab7ffff,01954054000310,,,17,cep_changed_2019
89a8a061ab7ffff,02231030000134,,,16,cep_changed_2019
89a8a061ab7ffff,02291765000153,,,7,cep_changed_2019
89a8a061ab7ffff,02346381000190,1,rais_2017,,
89a8a061ab7ffff,02428705000130,,,4,cep_changed_2019
89a8a061ab7ffff,03565962000186,8,rais_2017,,
89a8a061ab7ffff,04179994000106,,,2,cep_changed_2019
89a8a061ab7ffff,04247792000901,30,rais_2017,,
89a8a061ab7ffff,04277561000193,,,1,cep_changed_2019
89a8a061ab7ffff,04949766000178,,,3,cep_changed_2019
89a8a061ab7ffff,06310679000100,,,3,cep_changed_2019
89a8a061ab7ffff,07221832000187,,,3,cep_changed_2019
89a8a061ab7ffff,07611290000159,,,6,cep_changed_2019
