id_hex,id_estab,total_2018,input_2018,razao_social,total_2019,input_2019
89a8a06086fffff,02692295000130,1,rais_2017,ALEX MORAES PEREIRA ME,1,rais_2017
89a8a06086fffff,07206816006660,,,,3280,new_estab_2019
89a8a06086fffff,31747069000107,,,,1,new_estab_2019
89a8a06086fffff,49930514290206,27,rais_2017,SODEXO DO BRASIL COMERCIAL S A,20,rais_2017
89a8a06117bffff,00000000065803,7,rais_2017,"BANCO DO BRASIL S A JACARE RIO DE JANEIRO,RJ",7,rais_2017
89a8a06117bffff,00239630000113,34,rais_2017,LAVESTOP AUTO SERVICOS LTDA,38,rais_2017
89a8a06117bffff,01124521000113,1,rais_2017,CONDOMINIO DO EDIFICIO NOSSA SENHORA AUXILIAD,1,rais_2017
89a8a06117bffff,01371259000101,5,rais_2017,CANTINHO DO JACARE LOTERIAS LTDA ME,5,rais_2017
89a8a06117bffff,02270723000136,1,rais_2017,EDNEWS EDITORA E GRAFICA EIRELI ME,1,rais_2017
89a8a06117bffff,02319098000170,3,rais_2017,JULIA IND E COM DE PRODUTOS ALIMENT LTDA,,
89a8a06117bffff,02500264000130,1,rais_2017,QUALYTA LAB EQUIPAMENTOS PARA LABORATORIOS LT,,
89a8a06117bffff,02859962000126,2,rais_2017,E R R S RACOES PARA ANIMAIS LTDA ME,1,rais_2017
89a8a06117bffff,02997431000108,19,rais_2017,DROGARIA PAGUE MENOS DO JACARE LTDA,21,rais_2017
89a8a06117bffff,03216334000195,16,rais_2017,COLEGIO ROSA DE SARON LTDA ME,15,rais_2017
89a8a06117bffff,03216334000276,19,rais_2017,COLEGIO ROSA DE SARON LTDA ME,21,rais_2017
89a8a06117bffff,03443828000102,5,rais_2017,PET SHOP BIDUCAO LTDA ME,4,rais_2017
89a8a06117bffff,03515960000182,6,rais_2017,INDUSTRIA GRAFICA E EDITORA FENIX LTDA EPP,4,rais_2017
89a8a06117bffff,04030361000131,4,rais_2017,PC 2000 MATERIAIS ELETRICOS LTDA,3,rais_2017
89a8a06117bffff,04582822000189,23,rais_2017,JACARE DO MARVI HORTIFRUTIGRANJEIROS LTDA ME,24,rais_2017
89a8a06117bffff,07039139000198,30,rais_2017,COLEGIO JEFFERSONSUZANO LTDA,30,rais_2017
89a8a06117bffff,08725408000132,1,new_estab_2018,FANTASTICA CASA DE MATERIAIS DE CONSTRUCAO EI,,
89a8a06117bffff,08955137000101,7,rais_2017,CENACLIN CENTRO DE ANALISES CLINICAS DA COMU,7,rais_2017
89a8a06117bffff,09399101000151,1,rais_2017,GRVB BAZAR E PAPELARIA EIRELI ME,1,rais_2017
89a8a06117bffff,10492647000131,10,cep_changed_2018,IMPRIMEART GRAFICA EDITORA E PAPELARIA EIRELI,15,cep_changed_2018
89a8a06117bffff,12442220000154,1,rais_2017,VLADIMIR COMERCIO DE AUTO PECAS PARA VEICULOS,1,rais_2017
89a8a06117bffff,12918552000162,3,rais_2017,FJA MIRANDA,4,rais_2017
89a8a06117bffff,14053221000132,1,rais_2017,INTERART CENOGRAFIA E EVENTOS EIRELI EPP,11,rais_2017
89a8a06117bffff,14082397000112,12,rais_2017,J P F CAMPOS RESTAURANTE ME,8,rais_2017
89a8a06117bffff,14161490000112,3,rais_2017,CAFE E BAR NUTRILANCHES LTDA ME,2,rais_2017
89a8a06117bffff,14308652000100,3,rais_2017,BAZAR FASHION LTDA ME,,
89a8a06117bffff,14691688000108,8,rais_2017,DROGARIA IMEDIATA LTDA,6,rais_2017
89a8a06117bffff,17734910000109,1,rais_2017,CASANIER COMERCIO ELETR E SERV LTDA EPP,,
89a8a06117bffff,18186083000110,,,,1,new_estab_2019
89a8a06117bffff,18584049000102,9,rais_2017,UPLIFT ARTIGOS ESPORTIVOS E CULTURA FISICA L,9,rais_2017
89a8a06117bffff,18754340000173,1,new_estab_2018,JUCIARA MOREIRA DE SOUZA 02108136797,,
89a8a06117bffff,19111648000163,2,rais_2017,N V PASSOS BAR ME,,
89a8a06117bffff,20939960000129,1,rais_2017,SALAO JNC CABELEIREIROS EIRELI ME,1,rais_2017
89a8a06117bffff,21406659000112,1,rais_2017,CENIL PEREIRA CABELEIREIROS ME,1,rais_2017
89a8a06117bffff,22368106000185,17,rais_2017,KOMAKI RIO PIZZARIA E RESTAURANTE LTDA ME,12,rais_2017
89a8a06117bffff,29745510000170,16,rais_2017,MONITEX IND E COMERCIO LTDA,17,rais_2017
89a8a06117bffff,29791766000113,,,,1,new_estab_2019
89a8a06117bffff,30068548000134,58,rais_2017,TECMA TECNOLOGIA EM MEIO AMBIENTE LTDA,59,rais_2017
89a8a06117bffff,31111412000122,84,rais_2017,LABORVIDA LABORATORIOS FARMACEUTICOS LTDA.,82,rais_2017
89a8a06117bffff,31210180000674,77,rais_2017,GERMANS DISTRIBUIDORA DE COMESTIVEIS LTDA,96,rais_2017
89a8a06117bffff,32635766000139,,,,17,new_estab_2019
89a8a06117bffff,33241531000125,,,,3,new_estab_2019
89a8a06117bffff,33285255000105,88,rais_2017,CNS-NACIONAL DE SERVICOS LTDA.,3122,rais_2017
89a8a06117bffff,33400532000175,1,rais_2017,CONFER ENGENHARIA LTDA EPP,,
89a8a06117bffff,33467242000149,2,rais_2017,SABOARIA MARACANA LTDA ME,1,rais_2017
89a8a06117bffff,33583592002629,40,rais_2017,ISJB OBRAS PROFISSIONAIS E SOCIAIS SANTA RI,40,rais_2017
89a8a06117bffff,34182105000120,9,rais_2017,CARVALHO DIVERSOES E INDUSTRIA LTDA EPP,7,rais_2017
89a8a06117bffff,42223123000131,21,rais_2017,POSTO VIANENSE DE PETROLEO LTDA.,20,rais_2017
89a8a06117bffff,60701190248149,18,rais_2017,ITAU UNIBANCO S.A.,21,rais_2017
89a8a06117bffff,73688129000108,2,rais_2017,REGU PECAS REG E ACESSORIOS LTDA EPP,2,rais_2017
89a8a06117bffff,73868184000180,2,rais_2017,CONDOMINIO DO EDIFICIO EUCLIDES DE ALMEIDA,2,rais_2017
89a8a06117bffff,97447437000100,6,rais_2017,DCS COMERCIO INDUSTRIA DE PAPEIS E ART LTDA,6,rais_2017
89a8a06187bffff,00000000611310,23,rais_2017,BANCO DO BRASIL S A ESTILO RUA DA ASSEMBLEIA,27,rais_2017
89a8a06187bffff,00092369000171,163,rais_2017,NETCENTER INFORMATICA LTDA,162,rais_2017
89a8a06187bffff,00132741000126,23,rais_2017,BRAZLIMP SERVICOS LTDA ME,19,rais_2017
89a8a06187bffff,00165960001426,39,cep_changed_2018,GOVERNANCABRASIL SA TEC E GESTAO EM SERVICOS,54,cep_changed_2018
89a8a06187bffff,00179022657004,2,rais_2017,ELIANE FRIDMAN,,
89a8a06187bffff,00179131878802,1,rais_2017,MARIA REGINA SANTOS BANHARA,1,cep_changed_2019
89a8a06187bffff,00188766000141,5,rais_2017,FOR SISTEMA DE ILUMIN. E DECORACOES LTDA,6,rais_2017
89a8a06187bffff,00330207000124,1,cep_changed_2018,GRINN SERVICOS DE INFORMATICA E TURISMO LTDA,,
89a8a06187bffff,00500022019307,1,rais_2017,ERIKA MELON BARROSO BRAGA,1,rais_2017
89a8a06187bffff,00500173829907,1,rais_2017,MONICA GERPE SOUTO ESSES,,
89a8a06187bffff,00512016176501,1,rais_2017,ANTONIO RIBEIRO CUINAS E OUTROS ( COND. EDIF,,
89a8a06187bffff,00512243571700,1,new_estab_2018,JOSE MACEIRA FERNANDEZ,1,new_estab_2018
89a8a06187bffff,00726001700296,1,new_estab_2018,LAERCIO GUARCONI,1,new_estab_2018
89a8a06187bffff,00795301000159,,,,3,cep_changed_2019
89a8a06187bffff,01383328000288,,,,12,cep_changed_2019
89a8a06187bffff,01424221000150,6,rais_2017,RIGONI SERVICOS E INFORMATICA LTDA.,6,rais_2017
89a8a06187bffff,01668135700271,,,,1,new_estab_2019
89a8a06187bffff,01710084000110,1,rais_2017,COND.EDIFICIO VIOLETA LIMA E CASTRO,1,rais_2017
89a8a06187bffff,01711231000176,,,,11,cep_changed_2019
89a8a06187bffff,01773668000134,,,,1,cep_changed_2019
89a8a06187bffff,02080308000110,2,rais_2017,MOEDAS MOEDAS NUMISMATICA LTDA ME,2,rais_2017
89a8a06187bffff,02102498000200,11,cep_changed_2018,METROPOLITAN LIFE SEGUROS E PREV PRIVADA S A,12,cep_changed_2018
89a8a06187bffff,02688358000184,9,rais_2017,ELLEGANCE ESCOLA DE COSTURA E MODELAGEM INDUS,5,rais_2017
89a8a06187bffff,02747963000189,3,cep_changed_2018,CIMI EMPREENDIMENTOS E PARTICIPACOES LTDA,,
89a8a06187bffff,02782095000178,5,rais_2017,MC 169 LIVROS LTDA ME,5,rais_2017
89a8a06187bffff,02807372000150,2,rais_2017,FUTURUS TELEMARKETING LTDA,2,rais_2017
89a8a06187bffff,02894242000100,53,rais_2017,NEW IT CLUB VIAGENS E TURISMO LTDA,43,rais_2017
