id_hex,diferenca,id_anos
89a8a06a013ffff,1972,2017 -> 2018
89a8a06e503ffff,3689,2017 -> 2018
89a8a06086fffff,3268,2017 -> 2019
89a8a06187bffff,2205,2017 -> 2019
89a8a061ab7ffff,2251,2017 -> 2019
89a8a061ea3ffff,2459,2017 -> 2019
89a8a06a033ffff,2081,2017 -> 2019
89a8a06a09bffff,2248,2017 -> 2019
89a8a06e503ffff,2490,2017 -> 2019
89a8a06086fffff,3274,2018 -> 2019
89a8a06117bffff,3068,2018 -> 2019
89a8a06187bffff,2088,2018 -> 2019
89a8a061ab7ffff,2318,2018 -> 2019
89a8a061ea3ffff,4172,2018 -> 2019
