competencia,uf,municipio,code_muni,cnes,estabelecimento,tipo_unidade,pessoa_fisica_ou_pessoa_juridi,logradouro,numero,bairro,cep,latitude,longitude,atende_sus,instal_fisica_ambu,instal_fisica_hospt,instal_fisica_urgencia,complex_alta_ambu_est,complex_alta_ambu_mun,complex_baix_ambu_est,complex_baix_ambu_mun,complex_medi_ambu_est,complex_medi_ambu_mun,complex_alta_hosp_est,complex_alta_hosp_mun,complex_baix_hosp_est,complex_baix_hosp_mun,complex_medi_hosp_est,complex_medi_hosp_mun,complex_nao_aplic_est,complex_nao_aplic_mun,health_low,health_med,health_high,lat_digits,lon,lat,ndigitos,latlon,MatchedAddress,SearchedAddress,PrecisionDepth,geocode_engine,year,n
201710,AL,MACEIO,270430,2006871,ENDOGASTRICA,39 - UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),PESSOA_JURÍDICA,RUA PROFESSOR JOSE DA SILVEIRA CAMERINO,1065,FAROL,57055630,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7433327,-9.6271148,NA,NA/NA,"R. Prof. José da Silveira Camerino, 1065 - Pinheiro, Maceió - AL, 57057-250, Brazil","RUA PROFESSOR JOSE DA SILVEIRA CAMERINO, 1065 - MACEIO, AL - CEP 57055630",street_number,gmaps_prob1,2017,2
201710,AL,MACEIO,270430,5372372,CENTRO DE OFTALMO E OTORRINO DE MACEIO,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA PROFESSOR JOSE DA SILVEIRA CAMERINO,1065,FAROL,57057250,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7433327,-9.6271148,NA,NA/NA,"R. Prof. José da Silveira Camerino, 1065 - Pinheiro, Maceió - AL, 57057-250, Brazil","RUA PROFESSOR JOSE DA SILVEIRA CAMERINO, 1065 - MACEIO, AL - CEP 57057250",street_number,gmaps_prob1,2017,2
201710,AL,MACEIO,270430,2008742,POLICLINICA DENILMA BULHOES,04 - POLICLINICA,PESSOA_JURÍDICA,AV NORMA PIMENTEL,S/N,BENEDITO BENTES,57080000,NA,NA,SIM,X,NA,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7262609,-9.5502554,NA,NA/NA,"Av. Norma Pimentel Costa - Benedito Bentes, Maceió - AL, 57084-650, Brazil","AV NORMA PIMENTEL, S/N - MACEIO, AL - CEP 57080000",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,5704111,CEO II RAFAEL DE MATOS SILVA,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,CONJ HENRIQUE EQUELMAN,1,ANTARES,57083024,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7427716,-9.5629609,NA,NA/NA,"R. N Cj Henrique Equelman - Antares, Maceió - AL, 57048-178, Brazil","CONJ HENRIQUE EQUELMAN, 1 - MACEIO, AL - CEP 57083024",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,3439208,CENTRO DE ESPECIALIZACAO EM REABILITACAO CER III,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,AV SIQUEIRA CAMPOS,2095,TRAPICHE,57010430,NA,NA,SIM,X,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-35.7591703,-9.6727822,NA,NA/NA,"Av. Siqueira Campos, 2095 - Trapiche da Barra, Maceió - AL, 57010-405, Brazil","AV SIQUEIRA CAMPOS, 2095 - MACEIO, AL - CEP 57010430",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,6782329,UNIDADE BASICA DE SAUDE DR JOSE GONCALVES SOBRINHO,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,AV DURVAL DE GOES MONTEIRO,S/N,TABULEIRO DOS MARTIN,57080530,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7601772,-9.5899973,NA,NA/NA,"Av. Durval de Góes Monteiro, Maceió - AL, Brazil","AV DURVAL DE GOES MONTEIRO, S/N - MACEIO, AL - CEP 57080530",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,2005859,INSTITUTO DE UROLOGIA,39 - UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),PESSOA_JURÍDICA,R HUGO CORREIA PAES,253,FAROL,57080000,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.73710519999999,-9.620742,NA,NA/NA,"R. Hugo Corrêa Paes, 253 - Gruta de Lourdes, Maceió - AL, 57052-827, Brazil","R HUGO CORREIA PAES, 253 - MACEIO, AL - CEP 57080000",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,2006472,HOSPITAL MEMORIAL ARTHUR RAMOS,05 - HOSPITAL GERAL,PESSOA_JURÍDICA,RUA HUGO CORREIA PAES,253,FAROL,57080000,NA,NA,SIM,X,X,X,NA,X,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,1,-35.73710519999999,-9.620742,NA,NA/NA,"R. Hugo Corrêa Paes, 253 - Gruta de Lourdes, Maceió - AL, 57052-827, Brazil","RUA HUGO CORREIA PAES, 253 - MACEIO, AL - CEP 57080000",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,6489699,AMBULATORIO DE ESPECIALIDADES DA UNCISAL,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,AV SIQUEIRA CAMPOS,2095,TRAPICHE DA BARRA,57010001,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7591703,-9.6727822,NA,NA/NA,"Av. Siqueira Campos, 2095 - Trapiche da Barra, Maceió - AL, 57010-405, Brazil","AV SIQUEIRA CAMPOS, 2095 - MACEIO, AL - CEP 57010001",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,6516718,CERVI,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA DR ALBINO MAGALHAES,135,FAROL,57050080,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.732515,-9.6485369,NA,NA/NA,"R. Dr. Albino Magalhães, 135 - Farol, Maceió - AL, 57050-080, Brazil","RUA DR ALBINO MAGALHAES, 135 - MACEIO, AL - CEP 57050080",street_number,gmaps_prob1,2017,1
