google_link,lon,lat,co_entidade,no_entidade,code_muni,name_muni,SearchedAddress,MatchedAddress,PrecisionDepth,geocode_engine,n_vizinhos
"https://www.google.com/maps/@-22.9013864,-47.0551678,19z",-47.0551678,-22.9013864,35285274,UEF EMEF ANALIA FERRAZ DA COSTA COUTO,3509502,Campinas,"ITAGIBA, SN RUA. JARDIM AMAZONAS. 13044-420 Campinas - SP.","ITAGIBA, SN RUA. JARDIM AMAZONAS. 13044-420 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013791,-47.0551664,19z",-47.0551664,-22.9013791,35272541,UEF PADRE FRANCISCO SILVA,3509502,Campinas,"FORNOVO, 440 RUA. VILA CASTELO BRANCO. 13061-274 Campinas - SP.","FORNOVO, 440 RUA. VILA CASTELO BRANCO. 13061-274 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013791,-47.0551664,19z",-47.0551664,-22.9013791,35272541,UEF CEMEP CAMPO GRANDE,3509502,Campinas,"FORNOVO, 440 RUA. VILA CASTELO BRANCO. 13061-274 Campinas - SP.","FORNOVO, 440 RUA. VILA CASTELO BRANCO. 13061-274 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013892,-47.0551649,19z",-47.0551649,-22.9013892,35287945,UEF JOAO ALVES DOS SANTOS DR,3509502,Campinas,"MANOEL THOMAZ, 635 CD EMEF JOAO ALVES D. VILA LUNARDI. 13067-230 Campinas - SP.","MANOEL THOMAZ, 635 CD EMEF JOAO ALVES D. VILA LUNARDI. 13067-230 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013883,-47.0551648,19z",-47.0551648,-22.9013883,35269608,UEF CPAT CENTRO PUBLICO DE APOIO AO TRABALHADOR,3509502,Campinas,"CAMPOS SALLES, 427 CD CPAT - CENTRO PUB. CENTRO. 13010-081 Campinas - SP.","CAMPOS SALLES, 427 CD CPAT - CENTRO PUB. CENTRO. 13010-081 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013876,-47.0551646,19z",-47.0551646,-22.9013876,35269906,UEF JOSE ALVES CAMPO GRANDE,3509502,Campinas,"MARIO SCOLARI PROFESSOR, SN RUA. CIDADE SATELITE IRIS. 13059-605 Campinas - SP.","MARIO SCOLARI PROFESSOR, SN RUA. CIDADE SATELITE IRIS. 13059-605 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.901412,-47.0551641,19z",-47.0551641,-22.901412,35284531,UEF PE JOSE NARCISO VIEIRA EHRENBERG,3509502,Campinas,"ROBERTO BUENO TEIXEIRA, SN RUA. JARDIM SAO MARCOS. 13082-255 Campinas - SP.","ROBERTO BUENO TEIXEIRA, SN RUA. JARDIM SAO MARCOS. 13082-255 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013959,-47.0551604,19z",-47.0551604,-22.9013959,35285201,UEF CASI CENTRO DE ATENDIMENTO SOCIAL INTEGRADA,3509502,Campinas,"BEATO MARCELINO CHAMPAGNAT, 16 CD CASA ESCOLA ROSA. VILA JOAQUIM INACIO. 13045-650 Campinas - SP.","BEATO MARCELINO CHAMPAGNAT, 16 CD CASA ESCOLA ROSA. VILA JOAQUIM INACIO. 13045-650 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-22.9013959,-47.0551604,19z",-47.0551604,-22.9013959,35285201,UEF CASA ESCOLA ROSA DOS VENTOS,3509502,Campinas,"BEATO MARCELINO CHAMPAGNAT, 16 CD CASA ESCOLA ROSA. VILA JOAQUIM INACIO. 13045-650 Campinas - SP.","BEATO MARCELINO CHAMPAGNAT, 16 CD CASA ESCOLA ROSA. VILA JOAQUIM INACIO. 13045-650 Campinas - SP.",inep,inep,6
"https://www.google.com/maps/@-23.600767,-46.789162,19z",-46.789162,-23.600767,35246360,CEU EMEF CESAR ARRUDA CASTANHO DEP,3550308,Sao Paulo,"NAZIR MIGUEL, 849 JARDIM PAULO VI. 05570-030 São Paulo - SP.","R. Nazir Miguel, 849 - Jardim Paulo VI, São Paulo - SP, 05570-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.600767,-46.789162,19z",-46.789162,-23.600767,35399474,CEU CEI UIRAPURU,3550308,Sao Paulo,"NAZIR MIGUEL, 849 JARDIM PAULO VI. 05570-030 São Paulo - SP.","R. Nazir Miguel, 849 - Jardim Paulo VI, São Paulo - SP, 05570-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.600767,-46.789162,19z",-46.789162,-23.600767,35399516,CEU EMEI UIRAPURU,3550308,Sao Paulo,"NAZIR MIGUEL, 849 JARDIM PAULO VI. 05570-030 São Paulo - SP.","R. Nazir Miguel, 849 - Jardim Paulo VI, São Paulo - SP, 05570-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.600767,-46.789162,19z",-46.789162,-23.600767,35455623,CEU AT COMPL UIRAPURU,3550308,Sao Paulo,"NAZIR MIGUEL, 849 JARDIM PAULO VI. 05570-030 São Paulo - SP.","R. Nazir Miguel, 849 - Jardim Paulo VI, São Paulo - SP, 05570-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4399,-46.7872,19z",-46.7872,-23.4399,35397131,CEU EMEI PARQUE ANHANGUERA,3550308,Sao Paulo,"PEDRO JOSE DE LIMA, 1020 JARDIM ANHANGUERA. 05267-174 São Paulo - SP.","PEDRO JOSE DE LIMA, 1020 JARDIM ANHANGUERA. 05267-174 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.6496455,-46.7859632,19z",-46.7859632,-23.6496455,35356621,CEU CEI CANTOS DO AMANHECER,3550308,Sao Paulo,"CANTOS DO AMANHECER, S/N JARDIM ELEDY. 05856-020 São Paulo - SP.","Av. Cantos do Amanhecer - Capao Redondo, São Paulo - SP, 05856-020, Brazil",route,gmaps_prob1,3
