co_entidade,code_muni,no_entidade,mat_infantil,mat_fundamental,mat_medio,nu_funcionarios,endereco,SearchedAddress,PrecisionDepth,MatchedAddress,geocode_engine,lon,lat,year,qt_funcionarios,n
13026828,1302603,EM DESEMBARGADOR CANDIDO HONORIO FERREIRA,0,1,0,45,"R. ABILIO ALENCAR, 371 ALVORADA. 69042-010 Manaus - AM.","R. ABILIO ALENCAR, 371 ALVORADA. 69042-010 Manaus - AM.",inep,"R. ABILIO ALENCAR, 371 ALVORADA. 69042-010 Manaus - AM.",inep,-60.05132192,-3.07901204,2017,NA,1
13030302,1302603,ESCOLA ESTADUAL FRANCELINA DANTAS,0,1,0,74,"AV M, 375 ALVORADA. 69042-230 Manaus - AM.","AV M, 375 ALVORADA. 69042-230 Manaus - AM.",inep,"AV M, 375 ALVORADA. 69042-230 Manaus - AM.",inep,-60.05129408,-3.07913841,2017,NA,1
13097490,1302603,CMEI PROF<aa> ANGELA MARIA HONORATO DA COSTA,1,0,0,13,"R. VISCONDE DE ITABORAI, 14 COM. BAIRRO NOVO. JORGE TEIXEIRA. 69058-720 Manaus - AM.","R. VISCONDE DE ITABORAI, 14 COM. BAIRRO NOVO. JORGE TEIXEIRA. 69058-720 Manaus - AM.",inep,"R. VISCONDE DE ITABORAI, 14 COM. BAIRRO NOVO. JORGE TEIXEIRA. 69058-720 Manaus - AM.",inep,-59.9385740049183,-3.0359323695302,2017,NA,1
13101633,1302603,EM PROF<aa> MARIA DO SOCORRO AZEVEDO DE OLIVEIRA,0,1,0,42,"R. B, S/N LOTEAMENTO BAIRRO NO. JORGE TEIXEIRA. 69089-242 Manaus - AM.","R. B, S/N LOTEAMENTO BAIRRO NO. JORGE TEIXEIRA. 69089-242 Manaus - AM.",inep,"R. B, S/N LOTEAMENTO BAIRRO NO. JORGE TEIXEIRA. 69089-242 Manaus - AM.",inep,-59.9386551,-3.0359879,2017,NA,1
13103784,1302603,CENTRO DE EDUCACAO INDIGENA MANAUS,0,0,1,113,"COMUNIDADE NOVA ESPERANCA, S/N MARGEM ESQ RIO NEGRO. NOVA ESPERANCA. 69023-450 Manaus - AM.","COMUNIDADE NOVA ESPERANCA, S/N MARGEM ESQ RIO NEGRO. NOVA ESPERANCA. 69023-450 Manaus - AM.",inep,"COMUNIDADE NOVA ESPERANCA, S/N MARGEM ESQ RIO NEGRO. NOVA ESPERANCA. 69023-450 Manaus - AM.",inep,-60.0262739,-3.1074863,2017,NA,1
13258206,1302603,CENTRO RURAL DE ENSINO COM MEDIACAO TECNOLOGICA DE MANAUS,0,1,1,166,"KM 23, S/N RODOVIARIO. 69068-000 Manaus - AM.","KM 23, S/N RODOVIARIO. 69068-000 Manaus - AM.",inep,"KM 23, S/N RODOVIARIO. 69068-000 Manaus - AM.",inep,-60.0262835,-3.107496,2017,NA,1
15040054,1501402,EEEF JOSE VERISSIMO,0,1,0,57,"RUA PRESIDENTE PERNAMBUCO, 573 ESQ. CONS. FURTADO. BATISTA CAMPOS. 66015-200 Belém - PA.","RUA PRESIDENTE PERNAMBUCO, 573 ESQ. CONS. FURTADO. BATISTA CAMPOS. 66015-200 Belém - PA.",inep,"RUA PRESIDENTE PERNAMBUCO, 573 ESQ. CONS. FURTADO. BATISTA CAMPOS. 66015-200 Belém - PA.",inep,-48.4904623,-1.458976,2017,NA,1
15043533,1501402,EEEFM JONATHAS PONTES ATHIAS,0,1,1,65,"CONJUNTO PARAISO DOS PASSAROS TV RIO MOJU, S/N VAL DE CANS. 66115-970 Belém - PA.","CONJUNTO PARAISO DOS PASSAROS TV RIO MOJU, S/N VAL DE CANS. 66115-970 Belém - PA.",route,"Tv. Beija-Flor - Maracangalha, Belém - PA, 66110-005, Brazil",gmaps_prob1,-48.4788335,-1.4012538,2017,NA,2
15548325,1501402,EEEFM TIRADENTES II,0,1,1,49,"TV PRESIDENTE PERNANBUCO, 573 PROX. A CONSELHEIRO. BATISTA CAMPOS. 66015-200 Belém - PA.","TV PRESIDENTE PERNANBUCO, 573 PROX. A CONSELHEIRO. BATISTA CAMPOS. 66015-200 Belém - PA.",inep,"TV PRESIDENTE PERNANBUCO, 573 PROX. A CONSELHEIRO. BATISTA CAMPOS. 66015-200 Belém - PA.",inep,-48.4905102,-1.4589543,2017,NA,1
15552586,1501402,EEEIFM PROF ANTONIO GOMES MOREIRA JUNIOR,0,1,1,57,"CONJ PARAISO DOS PASSAROS RUA WE 7, 01 VAL-DE-CANS. 66110-010 Belém - PA.","CONJ PARAISO DOS PASSAROS RUA WE 7, 01 VAL-DE-CANS. 66110-010 Belém - PA.",route,"Tv. Beija-Flor - Maracangalha, Belém - PA, 66110-005, Brazil",gmaps_prob1,-48.4788335,-1.4012538,2017,NA,2
15552594,1501402,EEEIF RUY PARANATINGA BARATA,0,1,1,99,"AV. DOS TUCANOS - PARAISO DOS PASSAROS, SN CONJ. CDP. MARACANGALHA. 66110-010 Belém - PA.","AV. DOS TUCANOS - PARAISO DOS PASSAROS, SN CONJ. CDP. MARACANGALHA. 66110-010 Belém - PA.",route,"Tv. Beija-Flor - Maracangalha, Belém - PA, 66110-005, Brazil",gmaps_prob1,-48.4788335,-1.4012538,2017,NA,2
